_time,Servidor,vd,type,subtype,accion,devname,eventtime,level,logdesc,msg,reason,remip,tunneltype,user
Tue Aug 31 15:30:55 2021,FGT60E4Q16045068,root,event,vpn,ssl-login-fail,TJSM-BA,1630434653,alert,SSL VPN login fail,SSL user failed to logged in,sslvpn_login_permission_denied,181.89.208.251,ssl-web,ddistasi
Tue Aug 31 14:21:44 2021,FG10E1TB19900657,root,event,vpn,ssl-login-fail,CEPU_BA_FG10E1,1630430503940807968,alert,SSL VPN login fail,SSL user failed to logged in,sslvpn_login_permission_denied,186.22.56.221,ssl-web,e.bramos
Tue Aug 31 12:18:51 2021,FG10E1TB19900657,root,event,vpn,ssl-login-fail,CEPU_BA_FG10E1,1630423129365172184,alert,SSL VPN login fail,SSL user failed to logged in,sslvpn_login_permission_denied,181.229.220.155,ssl-web,readymind2
Tue Aug 31 12:18:31 2021,FG10E1TB19900657,root,event,vpn,ssl-login-fail,CEPU_BA_FG10E1,1630423110737284913,alert,SSL VPN login fail,SSL user failed to logged in,sslvpn_login_permission_denied,181.229.220.155,ssl-web,readymind2
Tue Aug 31 12:16:37 2021,FG10E1TB19900657,root,event,vpn,ssl-login-fail,CEPU_BA_FG10E1,1630422995366171961,alert,SSL VPN login fail,SSL user failed to logged in,sslvpn_login_permission_denied,181.229.220.155,ssl-web,MAD\readymind2
Tue Aug 31 10:31:55 2021,FG10E1TB19900657,root,event,vpn,ssl-login-fail,CEPU_BA_FG10E1,1630416713450101524,alert,SSL VPN login fail,SSL user failed to logged in,sslvpn_login_permission_denied,186.22.56.221,ssl-web,e.bramos
Tue Aug 31 10:31:25 2021,FG10E1TB19900657,root,event,vpn,ssl-login-fail,CEPU_BA_FG10E1,1630416683235333880,alert,SSL VPN login fail,SSL user failed to logged in,sslvpn_login_permission_denied,186.22.56.221,ssl-web,e.bramos
Tue Aug 31 10:29:44 2021,FG10E1TB19900657,root,event,vpn,ssl-login-fail,CEPU_BA_FG10E1,1630416583540525283,alert,SSL VPN login fail,SSL user failed to logged in,sslvpn_login_permission_denied,186.22.56.221,ssl-web,e.bramos
Tue Aug 31 10:29:26 2021,FG10E1TB19900657,root,event,vpn,ssl-login-fail,CEPU_BA_FG10E1,1630416564059987426,alert,SSL VPN login fail,SSL user failed to logged in,sslvpn_login_permission_denied,186.22.56.221,ssl-web,e.bramos
Tue Aug 31 10:28:18 2021,FG10E1TB19900657,root,event,vpn,ssl-login-fail,CEPU_BA_FG10E1,1630416497096342738,alert,SSL VPN login fail,SSL user failed to logged in,sslvpn_login_permission_denied,186.22.56.221,ssl-web,e.mronconi
Tue Aug 31 10:28:00 2021,FG10E1TB19900657,root,event,vpn,ssl-login-fail,CEPU_BA_FG10E1,1630416479140585771,alert,SSL VPN login fail,SSL user failed to logged in,sslvpn_login_permission_denied,186.22.56.221,ssl-web,e.mronconi
Tue Aug 31 10:26:52 2021,FG10E1TB19900657,root,event,vpn,ssl-login-fail,CEPU_BA_FG10E1,1630416411189462383,alert,SSL VPN login fail,SSL user failed to logged in,sslvpn_login_permission_denied,186.22.56.221,ssl-web,MAD\e.mronconi
Tue Aug 31 10:26:30 2021,FG10E1TB19900657,root,event,vpn,ssl-login-fail,CEPU_BA_FG10E1,1630416389386931670,alert,SSL VPN login fail,SSL user failed to logged in,sslvpn_login_permission_denied,186.22.56.221,ssl-web,MAD\e.mronconi
Tue Aug 31 10:24:18 2021,FG10E1TB19900657,root,event,vpn,ssl-login-fail,CEPU_BA_FG10E1,1630416256193779888,alert,SSL VPN login fail,SSL user failed to logged in,sslvpn_login_permission_denied,186.22.56.221,ssl-web,e.mronconi
Tue Aug 31 10:23:58 2021,FG10E1TB19900657,root,event,vpn,ssl-login-fail,CEPU_BA_FG10E1,1630416236376120127,alert,SSL VPN login fail,SSL user failed to logged in,sslvpn_login_permission_denied,186.22.56.221,ssl-web,e.mronconi
Tue Aug 31 10:09:01 2021,FG10E1TB19900657,root,event,vpn,ssl-login-fail,CEPU_BA_FG10E1,1630415339161376286,alert,SSL VPN login fail,SSL user failed to logged in,sslvpn_login_permission_denied,200.123.140.17,ssl-web,anaccarelli
Tue Aug 31 10:08:41 2021,FG10E1TB19900657,root,event,vpn,ssl-login-fail,CEPU_BA_FG10E1,1630415320269848808,alert,SSL VPN login fail,SSL user failed to logged in,sslvpn_login_permission_denied,200.123.140.17,ssl-web,anaccrelli
Tue Aug 31 09:52:36 2021,FG10E1TB19900657,root,event,vpn,ssl-login-fail,CEPU_BA_FG10E1,1630414354476921465,alert,SSL VPN login fail,SSL user failed to logged in,sslvpn_login_permission_denied,186.136.209.25,ssl-web,e.eyegres
Tue Aug 31 09:51:14 2021,FG10E1TB19900657,root,event,vpn,ssl-login-fail,CEPU_BA_FG10E1,1630414272231321262,alert,SSL VPN login fail,SSL user failed to logged in,sslvpn_login_permission_denied,186.136.209.25,ssl-web,e.eyegres
Tue Aug 31 09:50:52 2021,FG10E1TB19900657,root,event,vpn,ssl-login-fail,CEPU_BA_FG10E1,1630414251253069945,alert,SSL VPN login fail,SSL user failed to logged in,sslvpn_login_permission_denied,186.136.209.25,ssl-web,e.eyegres
Tue Aug 31 08:11:05 2021,FG10E1TB19900657,root,event,vpn,ssl-login-fail,CEPU_BA_FG10E1,1630408264681342431,alert,SSL VPN login fail,SSL user failed to logged in,sslvpn_login_permission_denied,190.19.180.148,ssl-web,e.yaguilera
Tue Aug 31 06:39:29 2021,FG10E1TB19900657,root,event,vpn,ssl-login-fail,CEPU_BA_FG10E1,1630402768571552780,alert,SSL VPN login fail,SSL user failed to logged in,sslvpn_login_permission_denied,186.22.17.209,ssl-web,DMARI
Tue Aug 31 06:39:11 2021,FG10E1TB19900657,root,event,vpn,ssl-login-fail,CEPU_BA_FG10E1,1630402749603600633,alert,SSL VPN login fail,SSL user failed to logged in,sslvpn_login_permission_denied,186.22.17.209,ssl-web,dmaRI
Mon Aug 30 15:19:43 2021,FG10E1TB19900657,root,event,vpn,ssl-login-fail,CEPU_BA_FG10E1,1630347582331360515,alert,SSL VPN login fail,SSL user failed to logged in,sslvpn_login_permission_denied,186.22.17.209,ssl-web,dmari
Mon Aug 30 11:25:31 2021,FG10E1TB19900657,root,event,vpn,ssl-login-fail,CEPU_BA_FG10E1,1630333531077110614,alert,SSL VPN login fail,SSL user failed to logged in,sslvpn_login_permission_denied,68.197.153.166,ssl-web,bramos
Mon Aug 30 11:25:07 2021,FG10E1TB19900657,root,event,vpn,ssl-login-fail,CEPU_BA_FG10E1,1630333506206610831,alert,SSL VPN login fail,SSL user failed to logged in,sslvpn_login_permission_denied,186.22.56.221,ssl-web,e.mronconi
Mon Aug 30 11:24:55 2021,FG10E1TB19900657,root,event,vpn,ssl-login-fail,CEPU_BA_FG10E1,1630333495464598338,alert,SSL VPN login fail,SSL user failed to logged in,sslvpn_login_permission_denied,68.197.153.166,ssl-web,e.bramos
Mon Aug 30 11:22:34 2021,FG10E1TB19900657,root,event,vpn,ssl-login-fail,CEPU_BA_FG10E1,1630333354237160878,alert,SSL VPN login fail,SSL user failed to logged in,sslvpn_login_permission_denied,186.22.56.221,ssl-web,e.mronconi
Mon Aug 30 11:20:26 2021,FG10E1TB19900657,root,event,vpn,ssl-login-fail,CEPU_BA_FG10E1,1630333225395183754,alert,SSL VPN login fail,SSL user failed to logged in,sslvpn_login_permission_denied,186.22.56.221,ssl-web,mronconi
